BRNKULMI142,Letní kino - Dvůr Městského divadla Brno,pouze letní sezóna,nah,https://www.letnikinobrno.cz,Brno,Brno,49.20150983325212,16.608244653936822,Lidická,1863/16,725568111
BRNKULMI143,Letní kino Hříbek - Beach bar Hříbek,,nah,https://www.beachbarhribek.cz/,Brno,Brno,49.24273724057284,16.512114776288975,Kníničky,898,+420 739 793 339
BRNKULMI144,Letní kino Na Riviéře,pouze letní sezóna,nah,,Brno,Brno,49.18815263636938,16.569300046900995,Bauerova,322/7,542427111
BRNKULMI145,Letní kino Špilberk,"Letní terasa, pouze letní sezóna",nah,https://www.letnikinospilberk.cz,Brno,Brno,49.19390865230947,16.598846435183866,Špilberk,1,732565202
BRNKULMI188,Scalní letňák,pouze letní sezóna,nah,https://www.kinoscala.cz/cz/cyklus/scalni-letnak-250,Brno,Brno,49.197740022854234,16.608256628147533,Moravské náměstí,680/1,736776728
